filename,provider,requested_model,response_model,thinking_mode,prompt_token,completion_token,reasoning_token,cached_prompt_token,latency_seconds,cost_currency,cost_amount,input_price_per_m,output_price_per_m,cache_hit_price_per_m,status
cn_minimax_m2_7_B_bid_v20_01.json,MiniMax,MiniMax-M2.7,unavailable,required,unavailable,unavailable,unavailable,unavailable,2.243216,CNY,unavailable,2.1,8.4,0.42,HTTP 402
cn_minimax_m2_7_B_bid_v20_02.json,MiniMax,MiniMax-M2.7,unavailable,required,unavailable,unavailable,unavailable,unavailable,3.147419,CNY,unavailable,2.1,8.4,0.42,HTTP 402
cn_minimax_m2_7_B_bid_v20_03.json,MiniMax,MiniMax-M2.7,unavailable,required,unavailable,unavailable,unavailable,unavailable,2.845250,CNY,unavailable,2.1,8.4,0.42,HTTP 402
cn_kimi_k2_6_B_bid_v20_01.json,Kimi,kimi-k2.6,unavailable,enabled,unavailable,unavailable,unavailable,unavailable,3.350809,CNY,unavailable,6.5,27.0,1.1,HTTP 401
cn_kimi_k2_6_B_bid_v20_02.json,Kimi,kimi-k2.6,unavailable,enabled,unavailable,unavailable,unavailable,unavailable,2.086681,CNY,unavailable,6.5,27.0,1.1,HTTP 401
cn_kimi_k2_6_B_bid_v20_03.json,Kimi,kimi-k2.6,unavailable,enabled,unavailable,unavailable,unavailable,unavailable,2.163509,CNY,unavailable,6.5,27.0,1.1,HTTP 401
cn_glm_5_1_B_bid_v20_01.json,智谱,glm-5.1,unavailable,enabled,unavailable,unavailable,unavailable,unavailable,1.663656,CNY,unavailable,6.0,24.0,1.3,HTTP 401
cn_glm_5_1_B_bid_v20_02.json,智谱,glm-5.1,unavailable,enabled,unavailable,unavailable,unavailable,unavailable,1.802088,CNY,unavailable,6.0,24.0,1.3,HTTP 401
cn_glm_5_1_B_bid_v20_03.json,智谱,glm-5.1,unavailable,enabled,unavailable,unavailable,unavailable,unavailable,1.870537,CNY,unavailable,6.0,24.0,1.3,HTTP 401
